instance_key,family,order,metric,py3dbp,jerry,winner
THPACK9-033,THPACK9,ascending,bins_used,6,6,tie
THPACK9-034,THPACK9,ascending,bins_used,13,13,tie
THPACK9-035,THPACK9,ascending,bins_used,3,3,tie
THPACK9-036,THPACK9,ascending,bins_used,19,19,tie
THPACK9-037,THPACK9,ascending,bins_used,27,27,tie
THPACK9-038,THPACK9,ascending,bins_used,58,58,tie
THPACK9-039,THPACK9,ascending,bins_used,20,20,tie
THPACK9-040,THPACK9,ascending,bins_used,12,12,tie
THPACK9-041,THPACK9,ascending,bins_used,24,24,tie
THPACK9-042,THPACK9,ascending,bins_used,5,5,tie
THPACK9-043,THPACK9,ascending,bins_used,4,4,tie
THPACK9-044,THPACK9,ascending,bins_used,4,4,tie
THPACK9-045,THPACK9,ascending,bins_used,4,3,jerry
THPACK9-046,THPACK9,ascending,bins_used,2,2,tie
THPACK9-047,THPACK9,ascending,bins_used,5,5,tie
