TYPE,ID,COPIES,BIN,X,Y,Z,LX,LY,LZ,ROTATION
BIN,0,1,0,0,0,0,10,10,10,
ITEM,0,1,0,0,0,0,4,4,4,XYZ
BIN,0,1,1,0,0,0,10,10,10,
ITEM,0,1,1,0,0,0,4,4,4,XYZ
BIN,0,1,2,0,0,0,10,10,10,
ITEM,0,1,2,0,0,0,4,4,4,XYZ
