TYPE,ID,COPIES,BIN,STACK,X,Y,Z,LX,LY,LZ,GROUP_ID
BIN,0,1,0,-1,0,0,0,10,10,10,
STACK,0,1,0,0,0,0,0,5,5,10,
ITEM,12,1,0,0,0,0,0,5,5,5,0
ITEM,14,1,0,0,0,0,5,5,5,5,0
STACK,1,1,0,1,0,5,0,5,5,10,
ITEM,21,1,0,1,0,5,0,5,5,5,0
ITEM,23,1,0,1,0,5,5,5,5,5,0
STACK,2,1,0,2,5,0,0,5,5,10,
ITEM,9,1,0,2,5,0,0,5,5,5,0
ITEM,11,1,0,2,5,0,5,5,5,5,0
STACK,3,1,0,3,5,5,0,5,5,10,
ITEM,10,1,0,3,5,5,0,5,5,5,0
ITEM,19,1,0,3,5,5,5,5,5,5,0
BIN,1,1,1,-1,0,0,0,10,10,10,
STACK,0,1,1,0,0,0,0,5,5,10,
ITEM,6,1,1,0,0,0,0,5,5,5,0
ITEM,8,1,1,0,0,0,5,5,5,5,0
STACK,1,1,1,1,0,5,0,5,5,10,
ITEM,7,1,1,1,0,5,0,5,5,5,0
ITEM,24,1,1,1,0,5,5,5,5,5,0
STACK,2,1,1,2,5,0,0,5,5,10,
ITEM,22,1,1,2,5,0,0,5,5,5,0
ITEM,25,1,1,2,5,0,5,5,5,5,0
STACK,3,1,1,3,5,5,0,5,5,10,
ITEM,13,1,1,3,5,5,0,5,5,5,0
ITEM,16,1,1,3,5,5,5,5,5,5,0
BIN,2,1,2,-1,0,0,0,10,10,10,
STACK,0,1,2,0,0,0,0,5,5,10,
ITEM,28,1,2,0,0,0,0,5,5,5,0
ITEM,29,1,2,0,0,0,5,5,5,5,0
STACK,1,1,2,1,0,5,0,5,5,10,
ITEM,5,1,2,1,0,5,0,5,5,5,0
ITEM,30,1,2,1,0,5,5,5,5,5,0
STACK,2,1,2,2,5,0,0,5,5,10,
ITEM,3,1,2,2,5,0,0,5,5,5,0
ITEM,4,1,2,2,5,0,5,5,5,5,0
STACK,3,1,2,3,5,5,0,5,5,10,
ITEM,0,1,2,3,5,5,0,5,5,5,0
ITEM,2,1,2,3,5,5,5,5,5,5,0
BIN,3,1,3,-1,0,0,0,10,10,10,
STACK,0,1,3,0,0,0,0,5,5,10,
ITEM,27,1,3,0,0,0,0,5,5,5,0
ITEM,31,1,3,0,0,0,5,5,5,5,0
STACK,1,1,3,1,0,5,0,5,5,10,
ITEM,18,1,3,1,0,5,0,5,5,5,0
ITEM,26,1,3,1,0,5,5,5,5,5,0
STACK,2,1,3,2,5,0,0,5,5,10,
ITEM,15,1,3,2,5,0,0,5,5,5,0
ITEM,17,1,3,2,5,0,5,5,5,5,0
STACK,3,1,3,3,5,5,0,5,5,10,
ITEM,1,1,3,3,5,5,0,5,5,5,0
ITEM,20,1,3,3,5,5,5,5,5,5,0
