benchmark_id,implementation_id,common_implementations,common_instances,common_instance_set_sha256,valid_records,invalid_records,mean_volume_utilization,median_volume_utilization
B01,packingsolver_fork_box,3,9,697fd746a16e46abc3c3991fcff5fd19076c40c67cbce16cfe199f48555a0378,9,0,0.9659607310871103,0.9686328707374836
B01,jerry,3,9,697fd746a16e46abc3c3991fcff5fd19076c40c67cbce16cfe199f48555a0378,9,0,0.8170490724412974,0.8392637394556661
B01,py3dbp,3,9,697fd746a16e46abc3c3991fcff5fd19076c40c67cbce16cfe199f48555a0378,9,0,0.8066066636933269,0.8214121680499787
B02,packingsolver_fork_box,2,15,e8e072c84b48316983e189e6394b6773ae095cab408ebd7af725c9121fafe160,15,0,0.7115089318469416,0.6280696576151121
B02,jerry,2,15,e8e072c84b48316983e189e6394b6773ae095cab408ebd7af725c9121fafe160,13,2,0.6722749579918924,0.6280696576151121
