benchmark_id,implementation_id,comparison_track,problem_scope,records,valid_complete,constraint_violation,invalid_certificate,process_errors,complete_rate,mean_hard_violation_count,max_hard_violation_count
B30,exact_cp_sat,EXACT_MODEL,FULL_PROBLEM,1,1,0,0,0,1.0,0.0,0.0
B30,go_bp3d,COMPOSED,GEOMETRY_PROJECTION,1,0,1,0,0,0.0,2.0,2.0
B30,jerry,COMPOSED,GEOMETRY_PROJECTION,1,0,1,0,0,0.0,2.0,2.0
B30,packingsolver_fork_box,COMPOSED,GEOMETRY_PROJECTION,1,0,1,0,0,0.0,2.0,2.0
B30,packingsolver_upstream_box,COMPOSED,GEOMETRY_PROJECTION,1,0,1,0,0,0.0,2.0,2.0
B30,py3dbp,COMPOSED,GEOMETRY_PROJECTION,1,0,1,0,0,0.0,2.0,2.0
B30,rust_brkga,COMPOSED,GEOMETRY_PROJECTION,1,0,1,0,0,0.0,2.0,2.0
B30,rust_extreme_point,COMPOSED,GEOMETRY_PROJECTION,1,0,1,0,0,0.0,2.0,2.0
B30,rust_ga,COMPOSED,GEOMETRY_PROJECTION,1,0,1,0,0,0.0,2.0,2.0
B30,rust_layer,COMPOSED,GEOMETRY_PROJECTION,1,0,1,0,0,0.0,2.0,2.0
B30,rust_sa,COMPOSED,GEOMETRY_PROJECTION,1,0,1,0,0,0.0,2.0,2.0
B30,skjolber_fast_bruteforce,COMPOSED,GEOMETRY_PROJECTION,1,0,1,0,0,0.0,2.0,2.0
B30,skjolber_laff,COMPOSED,GEOMETRY_PROJECTION,1,0,1,0,0,0.0,2.0,2.0
B30,skjolber_plain,COMPOSED,GEOMETRY_PROJECTION,1,0,1,0,0,0.0,2.0,2.0
B30,packingsolver_fork_boxstacks,COMPOSED,GEOMETRY_PROJECTION,2,0,2,0,0,0.0,2.0,2.0
B30,packingsolver_upstream_boxstacks,COMPOSED,GEOMETRY_PROJECTION,2,0,2,0,0,0.0,2.0,2.0
