track,implementation,algorithm,budget_s,generator_type,items_n,valid_complete,mean_bins
FIXED,rust_extremepoint,extremepoint,1.0,1,30,10,9.000000
FIXED,rust_extremepoint,extremepoint,1.0,1,60,10,16.100000
FIXED,rust_extremepoint,extremepoint,1.0,1,90,10,26.000000
FIXED,rust_extremepoint,extremepoint,1.0,6,30,10,1.000000
FIXED,rust_extremepoint,extremepoint,1.0,6,60,10,1.000000
FIXED,rust_extremepoint,extremepoint,1.0,6,90,10,1.000000
FIXED,rust_extremepoint,extremepoint,1.0,7,30,10,1.000000
FIXED,rust_extremepoint,extremepoint,1.0,7,60,10,1.000000
FIXED,rust_extremepoint,extremepoint,1.0,7,90,10,1.000000
FIXED,rust_extremepoint,extremepoint,1.0,8,30,10,6.200000
FIXED,rust_extremepoint,extremepoint,1.0,8,60,10,12.000000
FIXED,rust_extremepoint,extremepoint,1.0,8,90,10,16.000000
FIXED,rust_extremepoint,extremepoint,1.0,9,30,10,4.200000
FIXED,rust_extremepoint,extremepoint,1.0,9,60,10,4.600000
FIXED,rust_extremepoint,extremepoint,1.0,9,90,10,5.100000
FIXED,rust_extremepoint,extremepoint,10.0,1,30,10,9.000000
FIXED,rust_extremepoint,extremepoint,10.0,1,60,10,16.100000
FIXED,rust_extremepoint,extremepoint,10.0,1,90,10,26.000000
FIXED,rust_extremepoint,extremepoint,10.0,6,30,10,1.000000
FIXED,rust_extremepoint,extremepoint,10.0,6,60,10,1.000000
FIXED,rust_extremepoint,extremepoint,10.0,6,90,10,1.000000
FIXED,rust_extremepoint,extremepoint,10.0,7,30,10,1.000000
FIXED,rust_extremepoint,extremepoint,10.0,7,60,10,1.000000
FIXED,rust_extremepoint,extremepoint,10.0,7,90,10,1.000000
FIXED,rust_extremepoint,extremepoint,10.0,8,30,10,6.200000
FIXED,rust_extremepoint,extremepoint,10.0,8,60,10,12.000000
FIXED,rust_extremepoint,extremepoint,10.0,8,90,10,16.000000
FIXED,rust_extremepoint,extremepoint,10.0,9,30,10,4.200000
FIXED,rust_extremepoint,extremepoint,10.0,9,60,10,4.600000
FIXED,rust_extremepoint,extremepoint,10.0,9,90,10,5.100000
FIXED,rust_ga,ga,1.0,1,30,10,9.300000
FIXED,rust_ga,ga,1.0,1,60,10,17.000000
FIXED,rust_ga,ga,1.0,1,90,10,27.600000
FIXED,rust_ga,ga,1.0,6,30,10,1.000000
FIXED,rust_ga,ga,1.0,6,60,10,1.000000
FIXED,rust_ga,ga,1.0,6,90,10,1.000000
FIXED,rust_ga,ga,1.0,7,30,10,1.000000
FIXED,rust_ga,ga,1.0,7,60,10,1.600000
FIXED,rust_ga,ga,1.0,7,90,10,2.000000
FIXED,rust_ga,ga,1.0,8,30,10,7.400000
FIXED,rust_ga,ga,1.0,8,60,10,14.800000
FIXED,rust_ga,ga,1.0,8,90,10,19.700000
FIXED,rust_ga,ga,1.0,9,30,10,5.000000
FIXED,rust_ga,ga,1.0,9,60,10,5.700000
FIXED,rust_ga,ga,1.0,9,90,10,7.000000
FIXED,rust_ga,ga,10.0,1,30,10,9.300000
FIXED,rust_ga,ga,10.0,1,60,10,17.200000
FIXED,rust_ga,ga,10.0,1,90,10,27.500000
FIXED,rust_ga,ga,10.0,6,30,10,1.000000
FIXED,rust_ga,ga,10.0,6,60,10,1.000000
FIXED,rust_ga,ga,10.0,6,90,10,1.000000
FIXED,rust_ga,ga,10.0,7,30,10,1.000000
FIXED,rust_ga,ga,10.0,7,60,10,1.900000
FIXED,rust_ga,ga,10.0,7,90,10,2.000000
FIXED,rust_ga,ga,10.0,8,30,10,7.200000
