implementation_id,common_instances,common_instance_set_sha256,valid_complete,invalid,incomplete,invalid_rate,incomplete_rate,mean_bins,median_bins,p95_bins,mean_wall_s,mean_solver_s
packingsolver_fork_box,44,35cd9ebe9080882796d1be6691242391f1eeb7ac37404bc33b08c7834df29c64,44,0,0,0.0,0.0,15.477272727272727,11.5,51.0,1.0046725546073338,1.0005439250000001
skjolber_plain,44,35cd9ebe9080882796d1be6691242391f1eeb7ac37404bc33b08c7834df29c64,44,0,0,0.0,0.0,17.795454545454547,14.0,55.0,0.0006381285681818182,0.0006590909090909091
rust_extreme_point,44,35cd9ebe9080882796d1be6691242391f1eeb7ac37404bc33b08c7834df29c64,44,0,0,0.0,0.0,18.40909090909091,14.0,52.0,,0.0012490689545454545
py3dbp,44,35cd9ebe9080882796d1be6691242391f1eeb7ac37404bc33b08c7834df29c64,44,0,0,0.0,0.0,18.431818181818183,14.0,52.0,0.24268429158043794,0.13454514715439556
go_bp3d,44,35cd9ebe9080882796d1be6691242391f1eeb7ac37404bc33b08c7834df29c64,44,0,0,0.0,0.0,19.931818181818183,16.0,55.0,,0.001677806159090909
skjolber_laff,44,35cd9ebe9080882796d1be6691242391f1eeb7ac37404bc33b08c7834df29c64,44,0,0,0.0,0.0,20.84090909090909,17.0,61.0,0.005564124613636364,0.002840909090909091
jerry,44,35cd9ebe9080882796d1be6691242391f1eeb7ac37404bc33b08c7834df29c64,43,1,0,0.022727272727272728,0.0,18.72093023255814,14.0,52.0,0.6620390542869478,0.17586373496085925
skjolber_fast_bruteforce,44,35cd9ebe9080882796d1be6691242391f1eeb7ac37404bc33b08c7834df29c64,7,37,0,0.8409090909090909,0.0,38.57142857142857,27.0,76.0,1.8067487312857142,1.8057142857142856
