benchmark_id,implementation_id,items,run_status,solution_status,bins_used,wall_s,peak_rss_bytes
B28,skjolber_fast_bruteforce,16,COMPLETED,NO_SOLUTION,0,10.067301715025678,
B28,skjolber_fast_bruteforce,32,COMPLETED,NO_SOLUTION,0,10.067094054073095,
B28,skjolber_fast_bruteforce,64,COMPLETED,NO_SOLUTION,0,10.078189610969275,
B28,skjolber_fast_bruteforce,8,COMPLETED,VALID_COMPLETE,1,0.24465010315179825,
B28,skjolber_laff,16,COMPLETED,VALID_COMPLETE,2,0.2317392269615084,
B28,skjolber_laff,32,COMPLETED,VALID_COMPLETE,4,0.22490361612290144,
B28,skjolber_laff,64,COMPLETED,VALID_COMPLETE,8,0.2023338540457189,
B28,skjolber_laff,8,COMPLETED,VALID_COMPLETE,1,0.23164584417827427,
B28,skjolber_plain,16,COMPLETED,VALID_COMPLETE,2,0.2371440469287336,
B28,skjolber_plain,32,COMPLETED,VALID_COMPLETE,4,0.22581399395130575,
B28,skjolber_plain,64,COMPLETED,VALID_COMPLETE,8,0.22618000907823443,
B28,skjolber_plain,8,COMPLETED,VALID_COMPLETE,1,0.22133444901555777,
